2017/12/02 14:28:33.15: internet is not connected
2017/12/02 14:28:33.16: internet is not connected
2017/12/02 14:28:33.17: internet is not connected
2017/12/02 14:28:33.17: internet is not connected
2017/12/02 14:28:33.18: internet is not connected
2017/12/02 14:28:33.19: internet is not connected
2017/12/02 14:28:33.20: internet is not connected
2017/12/02 14:28:33.20: internet is not connected
2017/12/02 14:28:33.21: internet is not connected
2017/12/02 14:28:33.22: internet is not connected
2017/12/02 14:28:33.22: internet is not connected
2017/12/02 14:28:33.23: internet is not connected
2017/12/02 14:28:33.24: internet is not connected
2017/12/02 14:28:33.25: internet is not connected
2017/12/02 14:28:33.25: internet is not connected
2017/12/02 14:28:33.26: internet is not connected
2017/12/02 14:28:33.27: internet is not connected
2017/12/02 14:28:33.27: internet is not connected
2017/12/02 14:28:33.28: internet is not connected
2017/12/02 14:28:33.29: internet is not connected
2017/12/02 14:28:33.30: internet is not connected
2017/12/02 14:28:33.30: internet is not connected
2017/12/02 14:28:33.31: internet is not connected
2017/12/02 14:28:33.32: internet is not connected
2017/12/02 14:28:33.32: internet is not connected
2017/12/02 14:28:33.33: internet is not connected
2017/12/02 14:28:33.34: internet is not connected
2017/12/02 14:28:33.35: internet is not connected
2017/12/02 14:28:33.35: internet is not connected
2017/12/02 14:28:33.36: internet is not connected
2017/12/02 14:28:33.36: internet is not connected
2017/12/02 14:28:33.37: internet is not connected
2017/12/02 14:28:33.38: internet is not connected
2017/12/02 14:28:33.38: internet is not connected
2017/12/02 14:28:33.39: internet is not connected
2017/12/02 14:28:33.40: internet is not connected
2017/12/02 14:28:33.40: internet is not connected
2017/12/02 14:28:33.41: internet is not connected
2017/12/02 14:28:33.41: internet is not connected
2017/12/02 14:28:33.42: internet is not connected
2017/12/02 14:28:33.43: internet is not connected
2017/12/02 14:28:33.43: internet is not connected
2017/12/02 14:28:33.44: internet is not connected
2017/12/02 14:28:33.45: internet is not connected
2017/12/02 14:28:33.45: internet is not connected
2017/12/02 14:28:33.46: internet is not connected
2017/12/02 14:28:33.47: internet is not connected
2017/12/02 14:28:33.47: internet is not connected
2017/12/02 14:28:33.48: internet is not connected
2017/12/02 14:28:33.49: internet is not connected
2017/12/02 14:28:33.49: internet is not connected
2017/12/02 14:28:33.50: internet is not connected
2017/12/02 14:28:33.50: internet is not connected
2017/12/02 14:28:33.51: internet is not connected
2017/12/02 14:28:33.52: internet is not connected
2017/12/02 14:28:33.52: internet is not connected
2017/12/02 14:28:33.53: internet is not connected
2017/12/02 14:28:33.54: internet is not connected
2017/12/02 14:28:33.54: internet is not connected
2017/12/02 14:28:33.55: internet is not connected
2017/12/02 14:28:33.55: internet is not connected
